category,term,hebrew_term,wikipedia_en,wikipedia_he,wikidata_id,father,student_of,student,date_of_birth,place_of_birth,date_of_death,place_of_death
Biblical,Aaron,אהרן,https://en.wikipedia.org/wiki/Aaron,https://he.wikipedia.org/wiki/%D7%90%D7%94%D7%A8%D7%9F,Q51676,Amram / עמרם,,,1396 BCE; 1529 BCE,Ancient Egypt / מצרים העתיקה,1274 BCE; 1406 BCE,Mount Haroun / ג'בל הארון
Medieval Jewish,Aaron ben Elijah,אהרון בן אליהו האחרון,https://en.wikipedia.org/wiki/Aaron_ben_Elijah,,Q302956,,,,1328,Cairo / קהיר,1369,Constantinople / קונסטנטינופול
Medieval Jewish,Aaron ben Hayyim ha-Kohen,Aaron ben Hayyim ha-Kohen,https://en.wikipedia.org/wiki/Aaron_ben_Hayyim_ha-Kohen,,Q137592073,,,,,,,
Geonim,Aaron ben Meïr,אהרן בן מאיר,https://en.wikipedia.org/wiki/Aaron_ben_Me%C3%AFr,https://he.wikipedia.org/wiki/%D7%90%D7%94%D7%A8%D7%9F_%D7%91%D7%9F_%D7%9E%D7%90%D7%99%D7%A8,Q2820100,,,,,,,
Geonim,Aaron ha-Cohen,Aaron ha-Cohen,https://en.wikipedia.org/wiki/Aaron_ha-Cohen,,Q118874674,,,,,,,
Geonim,Aaron ibn Sargado,אהרן גאון,https://en.wikipedia.org/wiki/Aaron_ibn_Sargado,https://he.wikipedia.org/wiki/%D7%90%D7%94%D7%A8%D7%9F_%D7%92%D7%90%D7%95%D7%9F,Q84607354,,,,,,,
Biblical,Abagtha,אבגתא,https://en.wikipedia.org/wiki/Abagtha,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%92%D7%AA%D7%90,Q304781,,,,,,,
Amoraim,Abaye,אביי,https://en.wikipedia.org/wiki/Abaye,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%99,Q304924,,,,3c; 0278,,0339,
Amoraim,Abba bar Abba,אבוה דשמואל,https://en.wikipedia.org/wiki/Abba_bar_Abba,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%95%D7%94_%D7%93%D7%A9%D7%9E%D7%95%D7%90%D7%9C,Q305784,,,,2c,,3c,
Amoraim,Abba bar Kahana,רבי אבא בר כהנא,https://en.wikipedia.org/wiki/Abba_bar_Kahana,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%90%D7%91%D7%90_%D7%91%D7%A8_%D7%9B%D7%94%D7%A0%D7%90,Q16133496,,,,,,,
Geonim,Abba ben Ammi,רב אבא גאון,https://en.wikipedia.org/wiki/Abba_ben_Ammi,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%90%D7%91%D7%90_%D7%92%D7%90%D7%95%D7%9F,Q20501918,,,,,,,
Tannaim,Abba Gorion of Sidon,אבא גוריון איש צידן,https://en.wikipedia.org/wiki/Abba_Gorion_of_Sidon,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%9F_%D7%90%D7%99%D7%A9_%D7%A6%D7%99%D7%93%D7%9F,Q4663638,,,,,,,
Tannaim,Abba Hilkiah,אבא חלקיה,https://en.wikipedia.org/wiki/Abba_Hilkiah,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%97%D7%9C%D7%A7%D7%99%D7%94,Q2695686,,,,,Palestine / ארץ ישראל,,
Tannaim,Abba Jose ben Hanan,אבא יוסי בן חנן,https://en.wikipedia.org/wiki/Abba_Jose_ben_Hanan,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%99%D7%95%D7%A1%D7%99_%D7%91%D7%9F_%D7%97%D7%A0%D7%9F,Q4663643,,,,,,,
Amoraim; Tannaim,Abba Kohen Bardela,אבא כהן ברדלא,https://en.wikipedia.org/wiki/Abba_Kohen_Bardela,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%9B%D7%94%D7%9F_%D7%91%D7%A8%D7%93%D7%9C%D7%90,Q4663647,,,,2c,,,
Medieval Jewish,Abba Mari ben Eligdor,אבא מרי בן אליגדור,https://en.wikipedia.org/wiki/Abba_Mari_ben_Eligdor,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%9E%D7%A8%D7%99_%D7%91%D7%9F_%D7%90%D7%9C%D7%99%D7%92%D7%93%D7%95%D7%A8,Q4663651,,,,,,,
Amoraim,Abba of Carthage,רבי אבא מקרטיגנא,https://en.wikipedia.org/wiki/Abba_of_Carthage,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%90%D7%91%D7%90_%D7%9E%D7%A7%D7%A8%D7%98%D7%99%D7%92%D7%A0%D7%90,Q4663679,,,,,,,
Amoraim,Abba of Jaffa,אבא דמן יפו,https://en.wikipedia.org/wiki/Abba_of_Jaffa,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%93%D7%9E%D7%9F_%D7%99%D7%A4%D7%95,Q4663683,,,,,,,
Tannaim,Abba Saul,אבא שאול,https://en.wikipedia.org/wiki/Abba_Saul,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%A9%D7%90%D7%95%D7%9C,Q2763097,,,,2c,Jerusalem / ירושלים,,
Tannaim,Abba Saul ben Batnit,אבא שאול בן בטנית,https://en.wikipedia.org/wiki/Abba_Saul_ben_Batnit,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%90_%D7%A9%D7%90%D7%95%D7%9C_%D7%91%D7%9F_%D7%91%D7%98%D7%A0%D7%99%D7%AA,Q305782,,,,,Jerusalem / ירושלים,,
Biblical,Abda,בן-עבדא,https://en.wikipedia.org/wiki/Abda_%28biblical_figure%29,,Q7719735,,,,,,,
Biblical,Abdi,עבדי,https://en.wikipedia.org/wiki/Abdi,,Q25936438,,,,,,,
Biblical,Abdon,עבדון בן הלל,https://en.wikipedia.org/wiki/Abdon_%28Judges%29,https://he.wikipedia.org/wiki/%D7%A2%D7%91%D7%93%D7%95%D7%9F_%D7%91%D7%9F_%D7%94%D7%9C%D7%9C,Q308320,Hillel the Pirathonite,,,,Pirathon / פרעתון,,Pirathon / פרעתון
Biblical,Abel,הבל,https://en.wikipedia.org/wiki/Abel,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%9C,Q313421,Adam / אדם,,,3897 BCE,,3825 BCE,
Biblical,Abiasaph,אביאסף בן קרח,,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%90%D7%A1%D7%A3_%D7%91%D7%9F_%D7%A7%D7%A8%D7%97,Q11684128,Korah / קורח,,,,,,
Biblical,Abidan,אבידן בן גדעוני,https://en.wikipedia.org/wiki/Abidan,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%93%D7%9F_%D7%91%D7%9F_%D7%92%D7%93%D7%A2%D7%95%D7%A0%D7%99,Q3494535,Gideoni / גדעוני,,,,,,
Biblical,Abiezer,אביעזר,https://en.wikipedia.org/wiki/Abiezer,,Q2914121,,,,,,,
Biblical,Abiezer,אביעזר,,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%A2%D7%96%D7%A8_%28%D7%A9%D7%91%D7%98_%D7%9E%D7%A0%D7%A9%D7%94%29,Q20501924,Hepher / חפר,,,,,,
Biblical,Abigail,אביגיל בת ישי,https://en.wikipedia.org/wiki/Abigail_%28mother_of_Amasa%29,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%99%D7%92%D7%99%D7%9C_%D7%91%D7%AA_%D7%99%D7%A9%D7%99,Q3603697,Jesse / ישי,,,,,,
